Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
GUI,TC_IOS_HOME_GUI_005,[iOS] Home,Check layout,Kudos section,Conditional visibility,Verify Kudos section is hidden entirely when feature is unavailable,"User is logged in; isKudosAvailable = false",Kudos feature disabled,"1. Log in with Kudos feature disabled
2. Scroll through content area
3. Observe presence of Kudos section","Kudos section (mms_5_kudos) not displayed; no disabled placeholder shown",Yes,High,User interface,,,,
GUI,TC_IOS_HOME_GUI_006,[iOS] Home,Check layout,Notification badge,Badge visibility state,"Verify notification badge dot displayed when unread > 0, hidden when = 0",User is logged in,unreadCount > 0 then unreadCount = 0,"1. Log in with unread notifications > 0
2. Observe Bell icon
3. Mark all notifications read (unread = 0)
4. Observe Bell icon again","With unread > 0: red badge dot visible on Bell icon; With unread = 0: badge dot not visible",Yes,High,User interface,,,,
FUNCTION,TC_IOS_HOME_FUN_001,[iOS] Home,Check functionality,Countdown timer,Real-time update,Verify countdown updates every second toward 26/12/2025,"User is on Home screen; current date/time is before 26/12/2025 00:00:00 GMT+7",Device clock set to pre-event date,"1. Log in and land on Home screen
2. Observe DAYS/HOURS/MINUTES countdown units
3. Wait 3 seconds and observe again","Countdown values update every 1 second; DAYS/HOURS/MINUTES reflect remaining time to 26/12/2025",Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_002,[iOS] Home,Check functionality,Countdown timer,Coming soon visibility,Verify Coming soon label visible before event date and hidden after,User is on Home screen,Device clock set to pre-event and post-event dates,"1. Set device date to before 26/12/2025
2. Log in and observe Home screen hero section
3. Set device date to after 26/12/2025
4. Observe hero section again","Before 26/12/2025: Coming soon label visible; After 26/12/2025: Coming soon label hidden",Yes,Medium,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_003,[iOS] Home,Check functionality,Awards API,Error state + retry,Verify Retry button re-triggers API fetch after Awards API failure,"User is on Home screen; Awards shows error state",API returns 500 then succeeds on retry,"1. Log in with awards API failing
2. Confirm Awards error state with Retry button
3. Tap Retry button
4. Observe Awards section after retry (API now succeeds)","After retry: awards data loads successfully; award cards displayed",Yes,High,Abnormal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_004,[iOS] Home,Check functionality,Award card,Chi tiết navigation,Verify tapping Chi tiết on an award card navigates to that award's detail screen,"User is on Home screen; awards API returns ≥1 card",At least one award card,"1. Log in and land on Home screen
2. Scroll to Awards section
3. Tap Chi tiết link on any award card",Award Detail screen for the selected award category displayed,Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_005,[iOS] Home,Check functionality,Award card,Horizontal scroll,Verify award card list scrolls horizontally,"User is on Home screen; API returns multiple award cards",Multiple award cards (>1),"1. Log in and land on Home screen
2. Scroll to Awards section
3. Swipe left on award card list
4. Swipe right on award card list","Award card list scrolls left and right; cards fully revealed",Yes,Medium,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_006,[iOS] Home,Check functionality,Bell icon,Open notifications panel,Verify tapping Bell icon opens Notifications panel,User is on Home screen,Active session,"1. Log in and land on Home screen
2. Tap Bell icon in header",Notifications panel displayed,Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_007,[iOS] Home,Check functionality,ABOUT AWARD button,Navigation,Verify tapping ABOUT AWARD button navigates to Awards overview,User is on Home screen,Active session,"1. Log in and land on Home screen
2. Tap ABOUT AWARD button in hero section",Awards overview screen displayed,Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_008,[iOS] Home,Check functionality,ABOUT KUDOS button,Navigation,Verify tapping ABOUT KUDOS button navigates to Kudos overview,User is on Home screen,Active session,"1. Log in and land on Home screen
2. Tap ABOUT KUDOS button in hero section",Kudos overview screen displayed,Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_009,[iOS] Home,Check functionality,Kudos section,Feature-flagged visibility,Verify Kudos section shown when isKudosAvailable = true,"User is on Home screen; Kudos feature enabled",isKudosAvailable = true,"1. Log in with Kudos feature flag enabled
2. Scroll to Kudos section","Kudos section visible with banner, description, and Chi tiết button",Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_010,[iOS] Home,Check functionality,Kudos banner,Image fallback placeholder,Verify fallback placeholder shown when Kudos banner image fails to load,"User is on Home screen; Kudos enabled; image URL unreachable",Image URL returns error,"1. Log in with Kudos enabled
2. Block the Kudos banner image URL
3. Scroll to Kudos section
4. Observe banner image area",Fallback placeholder displayed in banner slot instead of broken image,Yes,Medium,Abnormal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_011,[iOS] Home,Check functionality,Kudos Chi tiết button,Navigation,Verify tapping Chi tiết in Kudos section navigates to Kudos detail screen,"User is on Home screen; Kudos feature enabled","Active session; isKudosAvailable = true","1. Log in and land on Home screen
2. Scroll to Kudos section
3. Tap Chi tiết button",Kudos detail/feed screen displayed,Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_012,[iOS] Home,Check functionality,FAB Pencil icon,Open WriteKudo form,Verify tapping FAB Pencil icon opens WriteKudo form,User is on Home screen,Active session,"1. Log in and land on Home screen
2. Tap Pencil icon on FAB",WriteKudo form screen displayed,Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_013,[iOS] Home,Check functionality,FAB Pencil icon,Double-tap prevention,Verify rapid double-tap on FAB Pencil triggers navigation only once,User is on Home screen,Active session,"1. Log in and land on Home screen
2. Tap Pencil icon on FAB rapidly twice within 500ms
3. Observe navigation","WriteKudo form screen displayed once; no duplicate screen pushed to stack",Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_014,[iOS] Home,Check functionality,FAB S/Kudos icon,Navigation to Kudos feed,Verify tapping FAB S/Kudos icon navigates to Kudos feed screen,User is on Home screen,Active session,"1. Log in and land on Home screen
2. Tap S/Kudos icon on FAB",Kudos feed screen displayed,Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_015,[iOS] Home,Check functionality,Bottom NavBar,Awards tab navigation,Verify tapping Awards tab in NavBar navigates to Awards screen,User is on Home screen,Active session,"1. Log in and land on Home screen
2. Tap Awards tab in bottom nav bar","Awards screen displayed; Awards tab highlighted as active",Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_016,[iOS] Home,Check functionality,Bottom NavBar,Kudos tab navigation,Verify tapping Kudos tab in NavBar navigates to Kudos screen,User is on Home screen,Active session,"1. Log in and land on Home screen
2. Tap Kudos tab in bottom nav bar","Kudos screen displayed; Kudos tab highlighted as active",Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_017,[iOS] Home,Check functionality,Bottom NavBar,Profile tab navigation,Verify tapping Profile tab in NavBar navigates to Profile screen,User is on Home screen,Active session,"1. Log in and land on Home screen
2. Tap Profile tab in bottom nav bar","Profile screen displayed; Profile tab highlighted as active",Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_018,[iOS] Home,Check functionality,Bottom NavBar,SAA 2025 tab active state,Verify SAA 2025 tab is active/highlighted when user is on Home screen,User is on Home screen,Active session,"1. Log in and land on Home screen
2. Observe bottom nav bar","SAA 2025 tab highlighted in gold; other tabs in reduced opacity",Yes,High,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_019,[iOS] Home,Check functionality,Language Switcher,Open language selection,Verify tapping Language Switcher opens language selection modal,User is on Home screen,Active session,"1. Log in and land on Home screen
2. Tap Language Switcher (VN flag + VN label) in header",Language selection modal/dropdown displayed,Yes,Medium,Normal_Others,,,,
FUNCTION,TC_IOS_HOME_FUN_020,[iOS] Home,Check functionality,Search icon,Navigate to Search screen,Verify tapping Search icon navigates to Search screen,User is on Home screen,Active session,"1. Log in and land on Home screen
2. Tap Search icon in header",Search screen displayed,Yes,Medium,Normal_Others,,,,
